question,answer,stack,correct,minor difference,wrong
What is the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of the inverse of,displaystyle psi = a,Physics,,,1
What is the state of the photon when it meets the beam splitter?,quantum field theory.,Physics,,,1
What is the resulting wavefunction collapse?,atoms and molecules collided.,Physics,1,,
What is the wave nature of light?,"The job of the popularizer of science, trying to get across some idea of quantum mechanics to a general audience that has not gone through these initiation rites, is daunting.",Physics,,,1
What is the name of the book that was published in the year that the Born rule was given?,The Born Rule and its Interpretation,Physics,1,,
What is the name of the book that is based on the book?,Quantum Mechanics at Wikipedia's sister projectsDefinitions from WiktionaryMedia from CommonsNewsfrom WikinewsQuotations from WikiquoteTexts from WikisourceTextbooks from WikibooksResources from WikiversityJ. O'Connor and E. F. Robertson: A history of quantum mechanics.,Physics,,,1
What is the name of the book that describes quantum mechanics?,. br> Toggle limited content width.,Physics,,,1
What are the entifiers of Wikipedia?,"Wikipedia is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.",Physics,,1,
What is the term for the state of a part of a particle?,Quantenmechanik,Physik,1,,
"What is the displaystyle ,a of the value?","displaystyle ,a of the value?",Physik,,,1
What is the difference between a displaystyle psi (vec r) and a displaystyle psi (vec r)?,"r  displaystyle psi (vec r) (die ganze Funktion, nicht nur ihr Wert an einem Ort r  displaystyle vec r ), oft also simply as  displaystyle ,psi  geschrieben. Betrachtet man die zeitigen Entwicklung des Zustands, schreibt man |  ( t )  displaystyle vert psi (t)rangle    ( r  , t ) . displaystyle psi (vec r ) (the    t    t   r   t   r   r   r   r   r   r   r   r   r ",Physik,,1,
What is the significance of the Schrödinger equation?,The Schrödinger equation is a mathematical formula for the Schrödinger equation. The corresponding definite probability distribution for a part is   displaystyle vert Psi rangle  is (bis on a constant normation factor) by the Betragsquadrat |  (x ) | 2 = | [  1 ( x ) +  2 ( x ) displaystyle vert psi _1(x ) | 2 = | [  1 ( x ) +  2 ( x ) displaystyle vert psi _1(x ) | 2 = | [  1 ( x ) +  2 ( x ) displaystyle vert psi _1(x ) | 2 = | [  1 ( x ) +  2 ( x ) displaystyle vert psi _,Physik,,1,
What is the result of the atomic physics experiment?,"The result of the atomic physics experiment is that the atomic physics experiment is a purely theoretical experiment, and that the results of the experiment are not purely theoretical.",Physik,,1,
What is the term for the physicists' interpretation of the quantum mechanik?,"Quantenmechanik Interpretations of the QuantenmechanikThe classical physicists, such as classical Mechanics or Electrodynamik, have a clear interpretation, meaning that the symbols of the theory (ort, speed, power, or perhaps Spannungs and Felders) is an intui",Physik,,1,
"What is the name of the physicist who wrote the book ""The Gravitation of the Universe""?",Dirac,Physik,1,,
What is the principle of the physicists?,d.,Physik,,,1
What is the name of the book that he wrote about the Quantenmechanik?,"Quantum Man (2006), J. Voss-AndreaeQuantum Corral (2009), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Voss-AndreaeQuantum Man (2006), J. Vo",Physik,,1,
What is the name of the book that nerds_on_air is a part of?,"In: The British Journal for the Philosophy of Science. 56/4 (2005), S. 615–634. Ablehnung „kopenhagener“ Interpretations als bloßen explications eines wissenschaftlichen Realismus und der statistischen Interpretation (Born), Diskussion der wichtigsten verbleibenden realistischen Optionen: spontaner Kollaps (GRW) und BohmMichael Redhead: Incompleteness, nonlocality and realism: a prolegomenon to the philosophy of quantum mechanics. Clarendon Press, Oxford 1987, ISBN 0-19-824937-3.",Physik,,,1
What is the name of the book that focuses on the eur of the eur?,Eur.,Physik,,,1
What is the name of the book that was published in the year 2007?,Autoren Der Text ist unter der Lizenz „Creative-Commons Namesnennung – Weitergabe unter gleichen Bedingungen“ verfügbar; Informationen zu den Urhebern und zur Lizenzstatus eingebundener Mediendateien (etwa Bilder oder Videos) können in Regel durch Anklicken diese abgeruhte.,Physik,,,1
What is the name of the language in which the text is written?,German,Physik,1,,
"What is the name of the volcano system in Iceland that started activity on August 17, 2014, and ended on February 27, 2015?",Bárarbunga,Geography,1,,
What is the name of the volcano that erupted in May 2011?,Grmsvötn,Geography,1,,
What type of volcanoes are found in Iceland?,central volcanoes,Geography,1,,
What are the characteristics of phreatomagmatic eruptions?,"ve and these phreatomagmatic eruptions produce tephra and possibly maars and tuff rings or cones.[8][9]Large extrusive, predominantly tholeiitic basaltic lava fields and shields with theoleiitic lava are the predominant material erupted and are found in the RVB, WVZ, MIB, EVZ and NVZ.[10][11] The island of Eldey off the south-west of the RVB has similar geological formations to the RVB but has in its recent activity formed the island of Surtsey and cones such as Eldfell on Heimaey. It is the southern tip of the EVZ propagating rift and the older alkaline basalts were alkali olivine and more recent mugearite in composition.[16] The basalts of the southern EVZ on land are rarely silicic but the volcanoes can have explosive phreatomagmatic eruptions.[17]",Geography,,,1
What year did the eruption of Bárarbunga begin?,"earthquake swarm, multiple lava fountain eruptions began in Holuhraun.[31][32]",Geography,,,1
What is the name of the lava field near Hagafell?,Sundhnkur,Geography,1,,
"What is the name of the Icelandic volcano that Thor Thordarson, Armann Hoskuldsson, and Thor Thordarson, Armann Hoskuldsson are describing?",Hengill,Geography,1,,
What is the name of the Icelandic volcano that exploded in 1783?,Laki,Geography,1,,
What is the name of the Icelandic volcano that is a lava flow?,Bárarbunga,Geography,1,,
What is the name of the Icelandic volcano that erupts again after a series of earthquakes?,Fagradalsfjall,Geography,1,,
What is the first child's name?,d,Geography,,,1
What is the name of the organization that created Wikipedia?,"Wikimedia Foundation, Inc.",Geography,,1,
What is the name of the island where Vulkane are found?,Island,Erdkunde,1,,
What is the name of the island where the most active Vulkane are located?,Pleistozän,Erdkunde,1,,
What is the most active gebirgskette in the area?,a.,Erdkunde,,,1
What is the name of the lava system?,Snfellsjökull,Erdkunde,1,,
What is the name of the region of the Hen?,Hen,Erdkunde,,1,
What is the name of the vulcanic very active high temperature region?,rdalsjökull,Erdkunde,1,,
"What is the name of the lava volcano that erupted in the last 10,000 years?",jökull,Erdkunde,1,,
What is the name of the book that Ari Trausti Gumundsson wrote?,"Halldór Kjartansson: Land im Werden. Ein Abriss der Geologie Islands. Vaka-Helgafell, Reykjavk 1996, ISBN 9979-2-0347-1.Christof Hug-Fleck: Islands Naturwunder. 4.",Erdkunde,,,1
What is the name of the book that Ari Trausti Gumundsson wrote?,"Journal of Geodynamics, Vol. 43, Issue 1, January 2007, P s 118-15",Erdkunde,,,1
What is the name of the Icelandic volcano?,Icelandic volcano,Erdkunde,,1,
What language is the language of the island?,English,Erdkunde,1,,
What language is the text in?,German,Erdkunde,1,,
,,,35,12,29
,,,,,
,,,,76,
